MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,18,1.5393,1.7165,1.3708
,,19,1.5307,1.7180,1.3676
,,20,1.5319,1.7244,1.3593
,,21,1.5324,1.7236,1.3559
,,24,1.5415,1.7269,1.3544
,,25,1.5433,1.7247,1.3529
,,26,1.5396,1.7200,1.3559
,,27,1.5391,1.7187,1.3554
,,28,1.5383,1.7152,1.3535
,Jul,01,1.5360,1.7182,1.3529
,,02,1.5301,1.7144,1.3565
,,03,1.5303,1.7072,1.3558
,,04,1.5293,1.7053,1.3555
,,05,1.5299,1.7061,1.3560
,,08,1.5283,1.7044,1.3612
,,09,1.5257,1.7024,1.3608
,,10,1.5267,1.6965,1.3623
,,11,1.5282,1.6981,1.3552
,,12,1.5303,1.7030,1.3577
,,15,1.5290,1.7049,1.3564
,,16,1.5269,1.6970,1.3560
,,17,1.5254,1.6889,1.3604
,,18,1.5276,1.6905,1.3591
,,19,1.5277,1.7019,1.3564
,,22,1.5267,1.7018,1.3609
,,23,1.5259,1.6984,1.3630
,,24,1.5215,1.6973,1.3653
,,25,1.5199,1.7025,1.3649
,,26,1.5254,1.7029,1.3682
,,29,1.5266,1.6962,1.3718
,,30,1.5256,1.6649,1.3692
,,31,1.5275,1.6642,1.3694
,Aug,01,1.5200,1.6687,1.3762
,,02,1.5241,1.6642,1.3763
,,05,1.5382,1.6793,1.3826
,,06,1.5492,1.6805,1.3818
,,07,1.5512,1.6819,1.3834
,,08,1.5487,1.6806,1.3815
,,13,1.5526,1.6741,1.3877
,,14,1.5466,1.6690,1.3845
,,15,1.5480,1.6740,1.3886
,,16,1.5403,1.6770,1.3873
,,19,1.5359,1.6832,1.3848
,,20,1.5360,1.6807,1.3854
,,21,1.5354,1.6827,1.3838
,,22,1.5358,1.6798,1.3853
,,23,1.5347,1.6962,1.3867
,,26,1.5475,1.7046,1.3890
,,27,1.5426,1.6966,1.3895
,,28,1.5401,1.7045,1.3890
,,29,1.5392,1.6946,1.3887
,,30,1.5337,1.6909,1.3887
,Sep,02,1.5267,1.6892,1.3892
,,03,1.5245,1.6774,1.3940
,,04,1.5254,1.6827,1.3898
,,05,1.5258,1.6935,1.3836
,,06,1.5275,1.7061,1.3844
,,09,1.5219,1.6943,1.3803
,,10,1.5247,1.7035,1.3805
,,11,1.5240,1.7039,1.3793
,,12,1.5157,1.6973,1.3763
,,13,1.5205,1.6951,1.3737
,,16,1.5203,1.7125,1.3733
,,17,1.5156,1.7084,1.3765
,,18,1.5221,1.7171,1.3755
,,19,1.5217,1.7194,1.3789
,,20,1.5212,1.7266,1.3758
,,23,1.5168,1.7185,1.3761
,,24,1.5141,1.7119,1.3777
,,25,1.5144,1.7158,1.3764
,,26,1.5114,1.7064,1.3789
,,27,1.5101,1.7046,1.3824
,,30,1.5101,1.6971,1.3813
,Oct,01,1.5068,1.7001,1.3839
,,02,1.5140,1.7001,1.3844
,,03,1.5148,1.7012,1.3826
,,04,1.5142,1.7028,1.3794
,,07,1.5166,1.7024,1.3812
,,08,1.5151,1.6972,1.3805
,,09,1.5150,1.6881,1.3819
,,10,1.5144,1.6850,1.3781
,,11,1.5134,1.7088,1.3739
,,14,1.5096,1.7248,1.3685
,,15,1.5105,1.7273,1.3691
,,16,1.5134,1.7498,1.3720
,,17,1.5160,1.7547,1.3687
,,18,1.5189,1.7544,1.3651
