MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,23,1.4835,1.7318,1.2907
,,24,1.4890,1.7399,1.2832
,,25,1.4872,1.7431,1.2804
,,26,1.4926,1.7501,1.2773
,,27,1.4926,1.7529,1.2758
,,30,1.4943,1.7494,1.2758
,Jul,01,1.5002,1.7485,1.2728
,,02,1.5023,1.7499,1.2731
,,03,1.5020,1.7360,1.2741
,,04,1.5004,1.7410,1.2748
,,07,1.5028,1.7399,1.2769
,,08,1.5013,1.7424,1.2783
,,09,1.5003,1.7393,1.2820
,,10,1.5017,1.7410,1.2798
,,11,1.4958,1.7371,1.2806
,,14,1.4969,1.7276,1.2816
,,15,1.4976,1.7224,1.2826
,,16,1.4928,1.7213,1.2856
,,17,1.4937,1.7218,1.2857
,,18,1.4936,1.7256,1.2853
,,21,1.4935,1.7236,1.2848
,,22,1.4979,1.7275,1.2816
,,23,1.5008,1.7296,1.2787
,,24,1.5017,1.7316,1.2754
,,25,1.5023,1.7266,1.2794
,,28,1.5052,1.7211,1.2803
,,29,1.4903,1.7167,1.2867
,,30,1.4868,1.7180,1.2862
,,31,1.4789,1.7167,1.2947
,Aug,01,1.4815,1.7128,1.2975
,,04,1.4909,1.7103,1.2876
,,05,1.4889,1.7107,1.2886
,,06,1.4906,1.7131,1.2872
,,07,1.4980,1.7156,1.2842
,,08,1.4966,1.7250,1.2837
,,11,1.4979,1.7282,1.2834
,,12,1.4944,1.7274,1.2862
,,13,1.4989,1.7323,1.2830
,,14,1.4979,1.7372,1.2799
,,15,1.4969,1.7391,1.2837
,,18,1.5006,1.7381,1.2822
,,19,1.4966,1.7336,1.2842
,,20,1.4959,1.7326,1.2860
,,21,1.4979,1.7305,1.2862
,,22,1.4950,1.7287,1.2899
,,25,1.5011,1.7324,1.2822
,,26,1.4943,1.7290,1.2855
,,27,1.4962,1.7322,1.2872
,,28,1.4965,1.7363,1.2854
,,29,1.4969,1.7325,1.2835
,Sep,01,1.5022,1.7351,1.2831
,,02,1.5035,1.7388,1.2855
,,03,1.4991,1.7234,1.2898
,,04,1.5017,1.7304,1.2887
,,05,1.5023,1.7319,1.2873
,,08,1.5055,1.7351,1.2857
,,09,1.5090,1.7392,1.2827
,,10,1.5025,1.7366,1.2832
,,11,1.5009,1.7361,1.2833
,,12,1.5036,1.7382,1.2825
,,15,1.5037,1.7389,1.2815
,,16,1.5067,1.7417,1.2791
,,17,1.5129,1.7415,1.2766

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."
